familymebers,location,infection,impact,familyreunion,familyrelationship,post,search,optimism,mediatime1,mediatime2,mediatime3,mediatime4,mediatime5,mediatimetotal,mediacontent1,mediacontent2,mediacontent3,mediacontent4,mediacontent5,mediacontent6,panas1,panas2,panas3,panas4,panas5,panas6,panas7,panas8,panas9,panas10,panas11,panas12,panas13,panas14,panas15,panas16,panas17,panas18,panas19,panas20,deathanxiety1,deathanxiety2,deathanxiety3,deathanxiety4,meaninginlife1,meaninginlife2,meaninginlife3,meaninginlife4,empathy1,empathy2,sympathy1,sympathy2,dass1,dass2,dass3,dass4,dass5,dass6,dass7,dass8,dass9,dass10,dass11,dass12,dass13,dass14,dass15,dass16,dass17,dass18,dass19,dass20,dass21,PA,NA,DA,ML,DEP,ANX,STR,NEW,TRA,EMP,SYM
2,Sichuan,0,3,1,5,0,2,1,1,1,1,1,1,5,2,4,2,4,2,2,3,2,3,1,2,1,1,1,4,2,2,5,2,2,4,4,2,2,2,4,2,2,2,2,6,6,6,3,2,4,4,4,2,1,1,1,2,2,1,2,2,2,2,3,2,2,1,2,1,2,1,2,2,29.00,20.00,10.00,26.00,12.00,9.00,15.00,1.00,1.00,6.00,8.00
4,Guangdong,0,3,1,5,0,4,4,3,2,1,3,2,11,5,4,3,3,3,3,4,3,3,2,2,2,3,2,2,1,2,4,1,3,4,3,3,3,2,4,2,4,5,4,6,7,7,6,5,5,4,4,2,2,1,1,1,1,2,2,3,1,2,2,2,1,2,2,1,2,2,2,1,27.00,26.00,19.00,32.00,9.00,14.00,12.00,2.00,3.00,10.00,8.00
3,Guizhou,0,5,1,1,0,4,3,4,4,0,2,8,18,5,5,5,5,5,5,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,4,3,4,3,5,3,4,5,4,6,6,5,5,5,5,5,3,3,3,3,1,3,2,1,2,3,2,2,2,2,2,2,2,2,3,2,2,1,31.00,33.00,18.00,29.00,15.00,14.00,16.00,3.50,4.00,10.00,8.00
4,Guizhou,0,3,1,3,1,3,2,0,2,1,0,1,4,4,4,4,2,4,2,4,4,2,3,3,5,4,1,3,1,2,4,1,3,4,3,4,2,2,3,4,4,5,4,6,5,5,3,4,4,5,5,2,2,2,1,3,3,1,2,3,2,2,1,2,2,2,2,1,2,2,1,1,29.00,29.00,21.00,26.00,13.00,12.00,14.00,1.00,0.00,8.00,10.00
3,Shanghai,0,4,1,2,1,4,1,0,12,1,12,12,37,5,5,5,5,5,5,4,5,1,5,1,2,3,3,2,1,4,5,1,1,5,2,1,5,2,5,3,1,4,5,7,7,7,7,5,5,5,5,4,4,3,4,4,4,2,4,4,2,4,4,4,2,4,4,2,4,4,4,2,20.00,38.00,18.00,35.00,21.00,26.00,26.00,9.25,0.00,10.00,10.00
3,Tianjin,0,3,1,5,0,2,2,1,8,3,8,12,32,5,4,4,4,3,3,3,4,3,2,3,1,2,1,2,1,1,3,1,1,1,2,2,2,2,2,3,5,4,3,4,4,4,4,4,3,4,3,3,3,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,22.00,17.00,19.00,20.00,11.00,13.00,13.00,7.75,1.00,7.00,7.00
3,Guizhou,0,3,1,5,0,2,4,3,3,2,1,1,10,2,3,3,3,3,3,3,2,3,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,1,28.00,23.00,19.00,22.00,12.00,13.00,14.00,1.75,3.00,8.00,8.00
3,Tianjin,0,3,1,4,0,3,5,2,2,1,2,2,9,4,5,4,3,4,4,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,4,7,7,7,7,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30.00,26.00,9.00,35.00,7.00,7.00,7.00,1.75,2.00,2.00,10.00
5,Gansu,0,4,1,5,1,4,2,1,12,1,3,12,29,5,5,5,5,3,4,3,4,2,3,1,1,1,1,2,3,1,5,1,1,3,3,2,2,3,1,3,1,1,1,6,6,6,6,3,4,3,5,1,2,2,1,2,1,1,1,2,1,1,1,2,2,1,3,1,1,1,1,1,25.00,18.00,10.00,27.00,12.00,9.00,8.00,7.00,1.00,7.00,8.00
2,Shanxi,0,5,1,4,0,4,2,3,3,2,1,2,11,5,3,4,5,4,2,3,2,2,3,2,1,3,1,2,2,2,4,1,1,3,2,2,3,2,4,4,4,2,4,5,5,5,7,5,4,5,5,2,4,1,1,3,2,1,3,4,3,2,1,2,2,3,1,1,2,1,1,2,22.00,23.00,19.00,28.00,13.00,15.00,14.00,2.00,3.00,9.00,10.00
3,Hunan,0,3,1,5,0,2,4,3,9,1,2,0,15,3,3,4,2,2,3,3,2,3,2,3,1,2,1,3,3,1,2,1,3,2,3,3,2,3,2,2,3,4,2,4,5,5,5,3,4,4,3,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,29.00,16.00,15.00,25.00,8.00,9.00,10.00,3.00,3.00,7.00,7.00
5,Tianjin,0,4,1,4,0,3,2,3,12,11,3,8,37,4,4,4,4,4,4,2,4,3,4,2,3,3,2,3,3,4,4,3,3,4,3,3,3,2,4,3,4,4,3,6,6,6,6,4,4,4,4,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,1,28.00,34.00,18.00,26.00,10.00,11.00,12.00,8.50,3.00,8.00,8.00
4,Gansu,0,4,1,5,0,2,3,1,2,1,1,2,7,1,3,3,3,3,3,3,3,4,2,4,2,4,3,4,3,3,4,2,3,4,3,3,3,3,3,2,2,4,4,3,4,5,5,4,4,4,2,1,2,2,1,1,2,2,3,2,3,2,2,3,2,2,3,3,2,3,2,2,34.00,29.00,15.00,20.00,17.00,14.00,14.00,1.50,1.00,8.00,6.00
3,Tianjin,0,5,1,5,1,4,1,3,3,2,3,3,14,5,5,5,5,5,5,5,5,2,2,2,1,2,1,5,5,2,4,1,5,2,3,3,2,2,2,1,5,1,2,7,7,7,7,1,1,3,5,4,4,2,1,1,4,1,1,4,1,1,1,1,4,1,2,1,2,1,1,1,36.00,20.00,11.00,35.00,9.00,13.00,17.00,2.75,3.00,2.00,8.00
5,Guizhou,0,4,1,4,0,2,3,1,1,1,1,1,5,3,3,3,3,4,4,3,2,3,2,3,2,1,2,3,2,3,3,3,2,3,3,3,2,2,2,2,3,4,3,4,6,4,5,4,4,5,4,3,3,4,2,3,2,2,3,3,3,2,3,3,3,2,3,1,3,2,1,2,27.00,22.00,14.00,22.00,19.00,15.00,19.00,1.00,1.00,8.00,9.00
5,Jiangxi,0,3,1,4,1,2,2,12,6,11,2,2,33,4,3,4,3,3,3,3,4,2,4,2,2,4,2,2,2,4,4,2,1,4,2,2,4,2,4,2,2,2,2,2,2,5,5,4,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,22.00,34.00,12.00,17.00,13.00,13.00,13.00,5.25,12.00,8.00,10.00
4,Tianjin,0,4,1,3,0,4,3,1,1,1,1,1,5,4,3,4,4,3,4,3,4,2,5,2,4,4,3,2,2,4,4,3,2,5,2,2,4,2,4,3,4,3,4,4,5,4,5,4,4,4,4,2,3,2,2,2,2,2,3,3,3,3,3,3,2,3,3,1,3,2,2,2,23.00,40.00,18.00,23.00,16.00,17.00,18.00,1.00,1.00,8.00,8.00
3,Guizhou,0,4,1,5,1,4,2,0,1,1,1,1,4,5,5,5,3,5,5,3,1,4,1,4,1,3,1,4,4,3,4,3,3,3,4,4,4,4,1,4,5,4,4,6,6,6,6,4,4,5,5,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,38.00,21.00,22.00,31.00,8.00,9.00,8.00,1.00,0.00,8.00,10.00
3,Gansu,0,4,1,5,1,4,2,1,5,4,5,2,17,3,4,4,3,4,3,3,2,2,3,2,2,4,4,4,3,3,3,2,1,5,4,4,5,5,5,3,2,2,3,3,3,3,4,3,3,3,4,3,2,1,3,3,4,3,3,3,3,3,3,3,2,2,3,1,1,1,1,1,31.00,35.00,13.00,17.00,15.00,15.00,19.00,4.00,1.00,6.00,7.00
7,Guizhou,0,5,1,5,0,2,2,10,10,10,5,8,43,2,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,6,6,6,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.00,20.00,24.00,30.00,7.00,7.00,8.00,8.25,10.00,10.00,10.00
5,Jiangxi,0,1,1,5,0,2,4,1,1,1,1,1,5,2,3,3,3,3,3,4,1,5,1,5,1,1,1,5,5,1,1,1,3,1,3,3,1,4,1,2,3,5,2,6,6,7,7,3,3,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38.00,10.00,13.00,32.00,7.00,8.00,7.00,1.00,1.00,6.00,7.00
3,Gansu,0,3,1,5,1,4,2,1,1,1,2,2,7,4,4,3,4,4,4,4,2,3,3,2,2,3,2,2,3,2,4,2,3,3,3,3,2,2,2,4,4,3,4,2,2,2,2,4,4,4,5,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,29.00,23.00,20.00,13.00,14.00,14.00,14.00,1.50,1.00,8.00,9.00
